Region,Country,Location,Site,Source,Lat,Long,MAP,MAP_data_flag,Woody_cover,Clay,Sand,Soil_N,Total_P,N_min_potential,Fire_return,Fire_return_data_source_flag,Herbivore_biomass,Herbivore_biomass_data_flag,Grazer_biomass,Browser_and_mixed_feeder_biomass,Site_Description,Cover_method,Woody_cover_data_flag,Total_plot_size_or_Transect_length,Depth_of_soil_measurements,Dominant_woody_species
text,text,text,text,text,decimal degrees,decimal degrees,mm,text,percent,percent,percent,percent,mg/kg,ug N/g soil/week,yrs,text,kg/km2,text,kg/km2,kg/km2,text,text,text,"text, ha or m","text, cm",text
East Africa,Kenya,Baringo District,Njemps flats,"Ekaya, W - unpublished",1,36.125,650,,50,41,6.7,0.06,877.5,3,>20,,5000,,,,Pastoral area,visual estimates,,~0.5 ha,0 - 10 cm,Acacia tortillis
East Africa,Kenya,Kajiado,1,"Worden, J. - unpublished",-2.311,37.237,454,,42,36.3,58.6,0.054,479.5,4.6,15,,5205,,,,Pastoral area - grazed by domestic + native herbivores,visual estimates,,~0.5 ha,0 - 10 cm,Commiphora africana
East Africa,Kenya,Kajiado,2,"Worden, J. - unpublished",-2.303,37.238,454,,42,36.7,58.2,0.054,405.6,4.1,15,,5205,,,,Pastoral area - grazed by domestic + native herbivores,visual estimates,,~0.5 ha,0 - 10 cm,Commiphora africana
East Africa,Kenya,Kajiado,3,"Worden, J. - unpublished",-2.242,37.213,454,,37,33.1,63.2,0.045,383.3,8.6,15,,5205,,,,Pastoral area - grazed by domestic + native herbivores,visual estimates,,~0.5 ha,0 - 10 cm,Commiphora africana
East Africa,Kenya,Kajiado,4,"Worden, J. - unpublished",-2.226,37.176,454,,21,38.2,59.4,0.057,416.5,12.3,15,,5205,,,,Pastoral area - grazed by domestic + native herbivores,visual estimates,,~0.5 ha,0 - 10 cm,Commiphora africana
East Africa,Kenya,Mpala Research Centre,Kopi bush,"Augustine, D. J. - unpublished",0.296,36.88,469,,41.3,14,75,0.09,202.3,10,>20,,0,,0,0,Commercial rangeland; bushland site ungrazed since 1999,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.5 ha,0 - 10 cm,Acacia mellifera
East Africa,Kenya,Mpala Research Centre,Kopi bush,"Augustine, D. J. - unpublished",0.296,36.88,469,,29.2,14,75,0.1,299.5,-3.4,>20,,7563,,2794,4768,Commercial rangeland - grazed by domestic + native herbivores; grazed bushland,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.5 ha,0 - 10 cm,Acacia mellifera
East Africa,Kenya,Mpala Research Centre,MRC bush,"Augustine, D. J. - unpublished",0.291,36.894,530,,45,14,75,0.131,147.1,50.4,>20,,0,,0,0,Commercial rangeland; bushland site ungrazed since 1999,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.5 ha,0 - 10 cm,Acacia brevispica
East Africa,Kenya,Mpala Research Centre,MRC bush,"Augustine, D. J. - unpublished",0.291,36.894,530,,29.8,14,75,0.108,197.4,15,>20,,7563,,2794,4768,Commercial rangeland - grazed by domestic + native herbivores; grazed bushland,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.5 ha,0 - 10 cm,Acacia brevispica
