Site,DBH(cm),Total.height(m),Dry.total.AGB(kg),Wood.specific.gravity
Australia,6.4,5.0,7.07,1.04
Australia,7.3,5.0,10.30,1.04
Australia,7.8,5.5,13.90,1.04
Australia,9.2,7.6,18.61,1.04
Australia,9.9,8.2,30.97,1.04
Australia,11.8,8.7,46.44,1.04
Australia,14.2,9.5,110.14,1.04
Australia,14.7,8.6,74.51,1.04
Australia,7.0,8.7,13.30,0.83
Australia,8.5,9.1,27.88,0.83
Australia,9.3,11.0,42.70,0.83
Australia,11.0,11.8,55.28,0.83
Australia,11.9,13.5,83.64,0.83
Australia,13.6,12.5,73.05,0.83
Australia,22.7,15.9,337.41,0.83
Australia,6.8,6.8,8.54,0.90
Australia,7.6,10.7,21.09,0.90
Australia,13.1,13.0,60.11,0.90
Australia,13.8,11.0,57.29,0.90
Australia,14.5,12.0,72.62,0.90
Australia,15.3,13.3,98.10,0.90
Australia,16.6,13.0,112.16,0.90
Australia,21.6,14.7,197.17,0.90
Australia,7.5,7.7,14.13,0.83
Australia,8.5,7.5,17.26,0.83
Australia,9.0,6.7,16.63,0.83
Australia,12.5,7.9,46.75,0.83
Australia,15.0,8.9,81.42,0.83
Australia,15.5,10.8,99.80,0.83
Australia,20.0,11.6,158.66,0.83
Australia,24.9,13.4,225.61,0.83
Australia,6.7,9.3,18.72,0.92
Australia,6.8,7.8,10.09,0.92
Australia,7.4,5.3,15.67,0.92
Australia,9.7,11.3,27.18,0.92
Australia,13.5,14.6,89.83,0.92
Australia,14.0,16.1,122.39,0.92
Australia,18.8,15.9,205.92,0.92
Australia,20.8,14.3,232.32,0.92
Australia,6.0,5.6,7.82,0.63
Australia,8.0,6.7,18.10,0.63
Australia,8.5,7.0,22.50,0.63
Australia,10.2,7.2,22.53,0.63
Australia,10.2,8.0,35.99,0.63
Australia,10.5,6.8,42.16,0.63
Australia,16.7,9.4,136.62,0.63
BraMan2,6.5,12.0,14.39,0.56
BraMan2,7.5,11.2,20.58,0.55
BraMan2,7.5,11.8,19.67,0.54
BraMan2,8.5,10.8,25.76,0.53
BraMan2,10.2,12.0,46.73,0.57
BraMan2,11.1,12.0,37.45,0.51
BraMan2,11.5,15.0,55.79,0.52
BraMan2,13.1,15.5,79.22,0.51
BraMan2,14.6,16.5,128.39,0.51
BraMan2,15.8,16.5,140.31,0.55
BraMan2,16.6,12.0,105.17,0.58
BraMan2,16.9,11.5,110.98,0.50
BraMan2,18.3,12.3,140.25,0.52
BraMan2,19.4,18.7,210.31,0.60
BraMan2,20.1,17.8,214.39,0.50
BraMan2,21.2,18.0,247.35,0.50
BraMan2,23.0,18.3,243.02,0.57
BraMan2,23.6,14.5,320.36,0.51
BraMan2,26.8,15.3,335.73,0.50
BraMan2,5.1,11.7,5.88,0.40
BraMan2,7.1,11.9,9.41,0.40
BraMan2,8.6,14.5,11.13,0.40
BraMan2,9.0,14.2,17.06,0.40
BraMan2,10.0,13.6,23.52,0.40
BraMan2,11.1,10.5,22.92,0.29
BraMan2,11.8,12.5,30.08,0.40
BraMan2,12.8,16.8,32.79,0.40
BraMan2,13.5,15.4,57.24,0.40
BraMan2,13.6,16.3,40.19,0.40
BraMan2,14.1,11.6,59.43,0.40
BraMan2,15.6,8.6,63.05,0.40
BraMan2,15.8,11.7,86.84,0.40
BraMan2,16.7,14.2,94.04,0.40
BraMan2,18.0,13.8,101.20,0.40
BraMan2,21.0,16.6,149.05,0.40
BraMan2,22.6,13.1,159.49,0.40
BraMan2,23.0,12.4,235.87,0.40
BraMan2,24.1,16.0,256.61,0.40
BraMan2,24.2,13.3,146.90,0.40
BraMan2,26.2,17.2,264.33,0.40
BraMan2,27.7,11.1,230.15,0.40
BraMan2,28.7,14.5,258.12,0.40
BraMan2,31.9,15.9,408.54,0.40
BraMan2,32.9,14.2,352.05,0.40
BraMan2,33.2,17.0,466.56,0.40
BraMan2,38.2,14.6,627.41,0.40
BraMan2,5.8,9.8,5.11,0.32
BraMan2,6.7,9.9,7.84,0.40
BraMan2,7.1,11.0,11.23,0.34
BraMan2,8.2,9.1,17.09,0.39
BraMan2,9.7,14.8,25.11,0.38
BraMan2,10.5,11.7,37.25,0.44
BraMan2,11.1,12.5,34.62,0.41
BraMan2,12.5,17.2,45.93,0.36
BraMan2,13.2,15.8,68.75,0.41
BraMan2,14.1,14.7,59.90,0.49
BraMan2,15.2,15.5,79.38,0.42
BraMan2,15.5,14.2,74.28,0.48
BraMan2,17.0,19.1,105.56,0.44
BraMan2,17.9,15.2,123.26,0.48
BraMan2,19.4,15.6,155.00,0.46
BraMan2,22.0,18.2,215.55,0.39
BraMan2,22.3,18.8,244.23,0.45
BraMan2,25.3,17.0,243.49,0.46
BraMan2,5.4,10.0,11.18,0.67
BraMan2,6.2,7.0,12.79,0.63
BraMan2,6.8,10.8,17.41,0.74
BraMan2,8.1,13.7,29.13,0.74
BraMan2,8.4,13.6,28.70,0.76
BraMan2,8.9,12.7,37.84,0.69
BraMan2,9.0,8.0,22.62,0.73
BraMan2,9.1,15.3,42.51,0.74
BraMan2,11.3,11.5,55.99,0.72
BraMan2,12.2,11.5,76.22,0.72
BraMan2,6.2,10.2,10.18,0.56
BraMan2,6.3,9.8,12.84,0.62
BraMan2,6.5,11.7,11.87,0.53
BraMan2,6.8,6.6,10.10,0.59
BraMan2,8.3,11.9,25.53,0.59
BraMan2,8.4,13.5,25.54,0.54
BraMan2,9.2,13.0,29.06,0.59
BraMan2,9.6,14.7,35.49,0.58
BraMan2,10.7,13.5,39.68,0.65
BraMan2,12.9,19.0,80.19,0.64
BraMan2,13.1,15.7,60.94,0.57
BraMan2,14.0,10.6,59.22,0.60
BraMan2,14.3,17.3,86.51,0.57
BraMan2,15.3,17.2,129.87,0.70
BraMan2,16.4,20.0,134.67,0.63
BraMan2,17.3,13.3,116.54,0.59
BraMan2,18.8,13.5,154.67,0.61
BraMan2,19.3,20.0,170.44,0.58
BraMan2,24.8,14.5,367.72,0.65
BraMan2,5.8,8.8,8.27,0.46
BraMan2,6.6,6.7,8.94,0.43
BraMan2,7.1,6.5,16.39,0.49
BraMan2,8.6,8.7,19.49,0.46
BraMan2,9.4,9.3,31.95,0.46
BraMan2,10.5,13.4,41.48,0.48
BraMan2,11.2,15.7,50.51,0.46
BraMan2,13.2,13.2,63.10,0.43
BraMan2,14.1,13.1,65.55,0.57
BraMan2,14.6,13.4,73.47,0.43
BraMan2,16.2,13.3,96.81,0.58
BraMan2,16.4,19.3,131.92,0.45
BraMan2,18.2,15.6,141.38,0.51
BraMan2,20.5,21.4,197.98,0.46
BraMan2,21.8,20.0,276.45,0.46
BraMan2,5.6,9.5,10.34,0.63
BraMan2,6.1,11.5,9.11,0.46
BraMan2,6.9,9.2,14.33,0.60
BraMan2,7.3,11.8,17.44,0.62
BraMan2,9.3,15.0,43.85,0.60
BraMan2,9.7,14.6,43.09,0.51
BraMan2,10.7,13.4,41.68,0.47
BraMan2,11.9,16.1,54.56,0.54
BraMan2,12.5,16.0,88.71,0.66
BraMan2,13.7,14.6,68.67,0.55
BraMan2,15.4,15.6,102.27,0.55
BraMan2,15.6,16.2,137.85,0.60
BraMan2,19.6,15.2,189.13,0.55
BraMan2,26.4,21.4,317.92,0.51
BraMan2,28.7,20.5,486.71,0.51
BraPara1,10.0,7.0,18.24,0.61
